Date,close_week_average
3/24/2025,5687.555
3/21/2025,5687.555
3/20/2025,5687.555
3/19/2025,5687.555
3/18/2025,5609.908
3/17/2025,5609.908
3/14/2025,5609.908
3/13/2025,5609.908
3/12/2025,5609.908
3/11/2025,5707.596
3/10/2025,5707.596
3/7/2025,5707.596
3/6/2025,5707.596
3/5/2025,5707.596
3/4/2025,5880
3/3/2025,5880
2/28/2025,5880
2/27/2025,5880
2/26/2025,5880
2/25/2025,6042.66
2/24/2025,6042.66
2/21/2025,6042.66
2/20/2025,6042.66
2/19/2025,6042.66
2/18/2025,6102.8125
2/14/2025,6102.8125
2/13/2025,6102.8125
2/12/2025,6102.8125
2/11/2025,6061.196
2/10/2025,6061.196
2/7/2025,6061.196
2/6/2025,6061.196
2/5/2025,6061.196
2/4/2025,6036.692
2/3/2025,6036.692
1/31/2025,6036.692
1/30/2025,6036.692
1/29/2025,6036.692
1/28/2025,6077.26
1/27/2025,6077.26
1/24/2025,6077.26
1/23/2025,6077.26
1/22/2025,6077.26
1/21/2025,5983.2875
1/17/2025,5983.2875
1/16/2025,5983.2875
1/15/2025,5983.2875
1/14/2025,5856.105
1/13/2025,5856.105
1/10/2025,5856.105
1/8/2025,5856.105
1/7/2025,5923.8575
1/6/2025,5923.8575
1/3/2025,5923.8575
1/2/2025,5923.8575
12/31/2024,5894.285
12/30/2024,5894.285
12/27/2024,6005.635
12/26/2024,6005.635
12/24/2024,6005.635
12/23/2024,6005.635
12/20/2024,5958.956
12/19/2024,5958.956
12/18/2024,5958.956
12/17/2024,5958.956
12/16/2024,5958.956
12/13/2024,6054.858
12/12/2024,6054.858
12/11/2024,6054.858
12/10/2024,6054.858
12/9/2024,6054.858
12/6/2024,6069.78
12/5/2024,6069.78
12/4/2024,6069.78
12/3/2024,6069.78
12/2/2024,6069.78
11/29/2024,6010.03
11/27/2024,6010.03
11/26/2024,6010.03
11/25/2024,6010.03
11/22/2024,5929.152
11/21/2024,5929.152
11/20/2024,5929.152
11/19/2024,5929.152
11/18/2024,5929.152
11/15/2024,5958.102
11/14/2024,5958.102
11/13/2024,5958.102
11/12/2024,5958.102
11/11/2024,5958.102
11/8/2024,5878.626
11/7/2024,5878.626
11/6/2024,5878.626
11/5/2024,5878.626
11/4/2024,5878.626
11/1/2024,5780.872
10/31/2024,5780.872
10/30/2024,5780.872
10/29/2024,5780.872
10/28/2024,5780.872
10/25/2024,5824.116
