"Date","tech"
2024-04-22,9861.088
2024-04-19,9804.336
2024-04-18,9804.336
2024-04-17,9804.336
2024-04-16,9804.336
2024-04-15,9804.336
2024-04-12,10306.87
2024-04-11,10306.87
2024-04-10,10306.87
2024-04-09,10306.87
2024-04-08,10306.87
2024-04-05,10332.706
2024-04-04,10332.706
2024-04-03,10332.706
2024-04-02,10332.706
2024-04-01,10332.706
2024-03-28,10402.4
2024-03-27,10402.4
2024-03-26,10402.4
2024-03-25,10402.4
2024-03-22,10347.002
2024-03-21,10347.002
2024-03-20,10347.002
2024-03-19,10347.002
2024-03-18,10347.002
2024-03-15,10345.452
2024-03-14,10345.452
2024-03-13,10345.452
2024-03-12,10345.452
2024-03-11,10345.452
2024-03-08,10503.34
2024-03-07,10503.34
2024-03-06,10503.34
2024-03-05,10503.34
2024-03-04,10503.34
2024-03-01,10390.604
2024-02-29,10390.604
2024-02-28,10390.604
2024-02-27,10390.604
2024-02-26,10390.604
2024-02-23,10158.395
2024-02-22,10158.395
2024-02-21,10158.395
2024-02-20,10158.395
2024-02-16,10288.366
2024-02-15,10288.366
2024-02-14,10288.366
2024-02-13,10288.366
2024-02-12,10288.366
2024-02-09,10164.07
2024-02-08,10164.07
2024-02-07,10164.07
2024-02-06,10164.07
2024-02-05,10164.07
2024-02-02,9952.074
2024-02-01,9952.074
2024-01-31,9952.074
2024-01-30,9952.074
2024-01-29,9952.074
2024-01-26,10034.562
2024-01-25,10034.562
2024-01-24,10034.562
2024-01-23,10034.562
2024-01-22,10034.562
2024-01-19,9656.9725
2024-01-18,9656.9725
2024-01-17,9656.9725
2024-01-16,9656.9725
2024-01-12,9475.052
2024-01-11,9475.052
2024-01-10,9475.052
2024-01-09,9475.052
2024-01-08,9475.052
2024-01-05,9165.1625
2024-01-04,9165.1625
2024-01-03,9165.1625
2024-01-02,9165.1625
2023-12-29,9640.075
2023-12-28,9640.075
2023-12-27,9640.075
2023-12-26,9640.075
2023-12-22,9484.856
2023-12-21,9484.856
2023-12-20,9484.856
2023-12-19,9484.856
2023-12-18,9484.856
2023-12-15,9296
2023-12-14,9296
2023-12-13,9296
2023-12-12,9296
2023-12-11,9296
2023-12-08,8787.584
2023-12-07,8787.584
2023-12-06,8787.584
2023-12-05,8787.584
2023-12-04,8787.584
2023-12-01,8804.134
2023-11-30,8804.134
2023-11-29,8804.134
2023-11-28,8804.134
2023-11-27,8804.134
2023-11-24,8698.67
2023-11-22,8698.67
2023-11-21,8698.67
2023-11-20,8698.67
2023-11-17,8525.316
2023-11-16,8525.316
2023-11-15,8525.316
2023-11-14,8525.316
2023-11-13,8525.316
2023-11-10,8112.048
2023-11-09,8112.048
2023-11-08,8112.048
2023-11-07,8112.048
2023-11-06,8112.048
2023-11-03,7737.872
2023-11-02,7737.872
2023-11-01,7737.872
2023-10-31,7737.872
2023-10-30,7737.872
2023-10-27,7675.384
2023-10-26,7675.384
2023-10-25,7675.384
2023-10-24,7675.384
2023-10-23,7675.384
2023-10-20,8028.458
2023-10-19,8028.458
2023-10-18,8028.458
2023-10-17,8028.458
2023-10-16,8028.458
2023-10-13,8180.07
2023-10-12,8180.07
2023-10-11,8180.07
2023-10-10,8180.07
2023-10-09,8180.07
2023-10-06,7934.284
2023-10-05,7934.284
2023-10-04,7934.284
2023-10-03,7934.284
2023-10-02,7934.284
2023-09-29,7856.994
2023-09-28,7856.994
2023-09-27,7856.994
2023-09-26,7856.994
2023-09-25,7856.994
2023-09-22,7962.122
2023-09-21,7962.122
2023-09-20,7962.122
2023-09-19,7962.122
2023-09-18,7962.122
2023-09-15,8239.144
2023-09-14,8239.144
2023-09-13,8239.144
2023-09-12,8239.144
2023-09-11,8239.144
2023-09-08,8331.085
2023-09-07,8331.085
2023-09-06,8331.085
2023-09-05,8331.085
2023-09-01,8208.646
2023-08-31,8208.646
