"date","rate_week_average"
2010-01-04,0.065
2010-01-05,0.065
2010-01-06,0.065
2010-01-07,0.065
2010-01-08,0.05
2010-01-11,0.05
2010-01-12,0.05
2010-01-13,0.05
2010-01-14,0.05
2010-01-15,0.0575
2010-01-18,0.0575
2010-01-19,0.0575
2010-01-20,0.0575
2010-01-21,0.0575
2010-01-22,0.07
2010-01-25,0.07
2010-01-26,0.07
2010-01-27,0.07
2010-01-28,0.07
2010-01-29,0.094
2010-02-01,0.094
2010-02-02,0.094
2010-02-03,0.094
2010-02-04,0.094
2010-02-05,0.112
2010-02-08,0.112
2010-02-09,0.112
2010-02-10,0.112
2010-02-11,0.112
2010-02-12,0.1
2010-02-15,0.1
2010-02-16,0.1
2010-02-17,0.1
2010-02-18,0.1
2010-02-19,0.118
2010-02-22,0.118
2010-02-23,0.118
2010-02-24,0.118
2010-02-25,0.118
2010-02-26,0.136
2010-03-01,0.136
2010-03-02,0.136
2010-03-03,0.136
2010-03-04,0.136
2010-03-05,0.156
2010-03-08,0.156
2010-03-09,0.156
2010-03-10,0.156
2010-03-11,0.156
2010-03-12,0.158
2010-03-15,0.158
2010-03-16,0.158
2010-03-17,0.158
2010-03-18,0.158
2010-03-19,0.146
2010-03-22,0.146
2010-03-23,0.146
2010-03-24,0.146
2010-03-25,0.146
2010-03-26,0.154
2010-03-29,0.154
2010-03-30,0.154
2010-03-31,0.154
2010-04-01,0.154
2010-04-02,0.17
2010-04-05,0.17
2010-04-06,0.17
2010-04-07,0.17
2010-04-08,0.17
2010-04-09,0.16
2010-04-12,0.16
2010-04-13,0.16
2010-04-14,0.16
2010-04-15,0.16
2010-04-16,0.158
2010-04-19,0.158
2010-04-20,0.158
2010-04-21,0.158
2010-04-22,0.158
2010-04-23,0.162
2010-04-26,0.162
2010-04-27,0.162
2010-04-28,0.162
2010-04-29,0.162
2010-04-30,0.15
2010-05-03,0.15
2010-05-04,0.15
2010-05-05,0.15
2010-05-06,0.15
2010-05-07,0.154
2010-05-10,0.154
2010-05-11,0.154
2010-05-12,0.154
2010-05-13,0.154
2010-05-14,0.166
2010-05-17,0.166
2010-05-18,0.166
2010-05-19,0.166
2010-05-20,0.166
2010-05-21,0.17
2010-05-24,0.17
2010-05-25,0.17
2010-05-26,0.17
2010-05-27,0.17
2010-05-28,0.155
2010-05-31,0.155
2010-06-01,0.155
2010-06-02,0.155
2010-06-03,0.155
2010-06-04,0.116
2010-06-07,0.116
2010-06-08,0.116
2010-06-09,0.116
2010-06-10,0.116
2010-06-11,0.086
2010-06-14,0.086
2010-06-15,0.086
2010-06-16,0.086
2010-06-17,0.086
2010-06-18,0.124
2010-06-21,0.124
2010-06-22,0.124
2010-06-23,0.124
2010-06-24,0.124
2010-06-25,0.16
2010-06-28,0.16
2010-06-29,0.16
2010-06-30,0.16
2010-07-01,0.16
2010-07-02,0.1625
2010-07-05,0.1625
2010-07-06,0.1625
2010-07-07,0.1625
2010-07-08,0.1625
2010-07-09,0.154
2010-07-12,0.154
2010-07-13,0.154
2010-07-14,0.154
2010-07-15,0.154
2010-07-16,0.16
2010-07-19,0.16
2010-07-20,0.16
2010-07-21,0.16
2010-07-22,0.16
2010-07-23,0.154
2010-07-26,0.154
2010-07-27,0.154
2010-07-28,0.154
2010-07-29,0.154
2010-07-30,0.156
2010-08-02,0.156
2010-08-03,0.156
2010-08-04,0.156
2010-08-05,0.156
2010-08-06,0.152
2010-08-09,0.152
