Security,UMG NA Equity,,,,,
Start Date,9/21/2021 0:00,,,,,
End Date,3/26/2025 0:00,,,,,
Period,D,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
1/27/2025,27.2714,1.81376,7.124619564,27.26091,1.81378,7.12764072
1/24/2025,25.45764,-0.01664,-0.065320786,25.44713,-0.02715,-0.106578086
1/23/2025,25.47428,-0.02654,-0.104075085,25.47428,-0.01612,-0.063239494
1/22/2025,25.50082,-0.20779,-0.808250621,25.4904,-0.20779,-0.808578347
1/21/2025,25.70861,0.05519,0.215137007,25.69819,0.04477,0.174518641
1/20/2025,25.65342,0.31075,1.22619282,25.65342,0.31075,1.22619282
1/17/2025,25.34267,0.1974,0.785038299,25.34267,0.20769,0.826298648
1/16/2025,25.14527,0.26344,1.058764568,25.13498,0.25315,1.017409089
1/15/2025,24.88183,0.26265,1.06685113,24.88183,0.26265,1.06685113
1/14/2025,24.61918,0.03467,0.141023758,24.61918,0.04489,0.182670588
1/13/2025,24.58451,-0.16741,-0.676351572,24.57429,-0.16738,-0.676510518
1/10/2025,24.75192,-0.25949,-1.037486491,24.74167,-0.25945,-1.037753509
1/9/2025,25.01141,0.0812,0.32570925,25.00112,0.07091,0.284434026
1/8/2025,24.93021,-0.27197,-1.079152676,24.93021,-0.27197,-1.079152676
1/7/2025,25.20218,0.04244,0.168682188,25.20218,0.05283,0.210065071
1/6/2025,25.15974,0.53722,2.181823794,25.14935,0.52683,2.139626651
1/3/2025,24.62252,-0.34196,-1.369786192,24.62252,-0.34196,-1.369786192
1/2/2025,24.96448,-0.61825,-2.41666937,24.96448,-0.6079,-2.377174123
12/31/2024,25.58273,0.20058,0.790240385,25.57238,0.20063,0.790761378
12/30/2024,25.38215,-0.35772,-1.389750609,25.37175,-0.3577,-1.390235703
12/27/2024,25.73987,0.22449,0.879822288,25.72945,0.21407,0.838984173
12/24/2024,25.51538,0.02988,0.117243138,25.51538,0.02988,0.117243138
12/23/2024,25.4855,0.07003,0.275540842,25.4855,0.07003,0.275540842
