Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Mar 24, 2025",5718.08,5766.56,5718.08,5744.48,5744.48,1624888000
"Mar 21, 2025",5630.73,5670.84,5603.1,5667.56,5667.56,9367460000
"Mar 20, 2025",5646.92,5711.15,5632.33,5662.89,5662.89,4678420000
"Mar 19, 2025",5632.37,5715.33,5622.2,5675.29,5675.29,4660090000
"Mar 18, 2025",5654.53,5654.53,5597.76,5614.66,5614.66,4666270000
"Mar 17, 2025",5635.6,5703.52,5631.12,5675.12,5675.12,5031770000
"Mar 14, 2025",5563.85,5645.27,5563.85,5638.94,5638.94,4863180000
"Mar 13, 2025",5594.45,5597.78,5504.65,5521.52,5521.52,5018980000
"Mar 12, 2025",5624.84,5642.19,5546.09,5599.3,5599.3,5219830000
"Mar 11, 2025",5603.65,5636.3,5528.41,5572.07,5572.07,6221240000
"Mar 10, 2025",5705.37,5705.37,5564.02,5614.56,5614.56,6409370000
"Mar 7, 2025",5726.01,5783.01,5666.29,5770.2,5770.2,5705140000
"Mar 6, 2025",5785.87,5812.08,5711.64,5738.52,5738.52,5165080000
"Mar 5, 2025",5781.36,5860.59,5742.35,5842.63,5842.63,5285970000
"Mar 4, 2025",5811.98,5865.08,5732.59,5778.15,5778.15,6138110000
"Mar 3, 2025",5968.33,5986.09,5810.91,5849.72,5849.72,5613850000
"Feb 28, 2025",5856.74,5959.4,5837.66,5954.5,5954.5,6441140000
"Feb 27, 2025",5981.88,5993.69,5858.78,5861.57,5861.57,5057680000
"Feb 26, 2025",5970.87,6009.82,5932.69,5956.06,5956.06,4869580000
"Feb 25, 2025",5982.73,5992.65,5908.49,5955.25,5955.25,5374690000
"Feb 24, 2025",6026.69,6043.65,5977.83,5983.25,5983.25,4990120000
"Feb 21, 2025",6114.1,6114.82,6008.56,6013.13,6013.13,5434560000
"Feb 20, 2025",6134.5,6134.5,6084.59,6117.52,6117.52,4813690000
"Feb 19, 2025",6117.76,6147.43,6111.15,6144.15,6144.15,4562330000
"Feb 18, 2025",6121.6,6129.63,6099.51,6129.58,6129.58,4684980000
"Feb 14, 2025",6115.52,6127.47,6107.62,6114.63,6114.63,4335190000
"Feb 13, 2025",6060.59,6116.91,6050.95,6115.07,6115.07,4763800000
"Feb 12, 2025",6025.08,6063.0,6003.0,6051.97,6051.97,4627960000
"Feb 11, 2025",6049.32,6076.28,6042.34,6068.5,6068.5,4324880000
"Feb 10, 2025",6046.4,6073.38,6044.84,6066.44,6066.44,4458760000
"Feb 7, 2025",6083.13,6101.28,6019.96,6025.99,6025.99,4766900000
"Feb 6, 2025",6072.22,6084.03,6046.83,6083.57,6083.57,4847120000
"Feb 5, 2025",6020.45,6062.86,6007.06,6061.48,6061.48,4756250000
"Feb 4, 2025",5998.14,6042.48,5990.87,6037.88,6037.88,4410160000
"Feb 3, 2025",5969.65,6022.13,5923.93,5994.57,5994.57,4797210000
"Jan 31, 2025",6096.79,6120.91,6030.93,6040.53,6040.53,4843770000
"Jan 30, 2025",6050.75,6086.64,6027.46,6071.17,6071.17,4634620000
"Jan 29, 2025",6057.7,6062.83,6012.96,6039.31,6039.31,4115310000
"Jan 28, 2025",6026.97,6074.54,5994.63,6067.7,6067.7,4473640000
"Jan 27, 2025",5969.04,6017.17,5962.92,6012.28,6012.28,5198750000
"Jan 24, 2025",6121.43,6128.18,6088.74,6101.24,6101.24,4214250000
"Jan 23, 2025",6076.32,6118.73,6074.67,6118.71,6118.71,4432250000
"Jan 22, 2025",6081.39,6100.81,6076.13,6086.37,6086.37,4323040000
"Jan 21, 2025",6014.12,6051.51,6006.88,6049.24,6049.24,4702920000
"Jan 17, 2025",5995.4,6014.96,5978.44,5996.66,5996.66,4366830000
