Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Dec 10, 2024",10963.12,10963.12,10714.01,10765.07,10765.07,-
"Dec 9, 2024",11094.11,11135.03,10976.23,10993.21,10993.21,-
"Dec 6, 2024",10958.44,11073.88,10948.58,11034.96,11034.96,-
"Dec 5, 2024",11079.38,11082.95,10912.46,10918.51,10918.51,-
"Dec 4, 2024",11057.03,11147.52,11027.38,11142.01,11142.01,-
"Dec 3, 2024",10876.95,10934.19,10868.6,10894.03,10894.03,-
"Dec 2, 2024",10764.7,10983.75,10763.81,10941.98,10941.98,-
"Nov 29, 2024",10672.22,10780.23,10663.63,10722.71,10722.71,-
"Nov 27, 2024",10749.38,10760.43,10551.28,10653.75,10653.75,-
"Nov 26, 2024",10947.64,10958.4,10789.15,10834.04,10834.04,-
"Nov 25, 2024",10886.45,10959.32,10849.97,10903.98,10903.98,-
"Nov 22, 2024",10720.28,10780.58,10667.81,10772.68,10772.68,-
"Nov 21, 2024",10599.82,10732.55,10508.34,10690.26,10690.26,-
"Nov 20, 2024",10524.48,10525.16,10354.84,10503.83,10503.83,-
"Nov 19, 2024",10383.51,10543.11,10376.15,10536.34,10536.34,-
"Nov 18, 2024",10370.15,10478.56,10347.45,10442.98,10442.98,-
"Nov 15, 2024",10535.29,10535.29,10306.28,10334.48,10334.48,-
"Nov 14, 2024",10771.81,10789.31,10667.17,10677.25,10677.25,-
"Nov 13, 2024",10734.83,10856.69,10734.83,10750.78,10750.78,-
"Nov 12, 2024",10777.83,10819.55,10687.14,10787.14,10787.14,-
"Nov 11, 2024",10848.22,10855.68,10747.52,10828.71,10828.71,-
"Nov 8, 2024",10925.44,10939.97,10833.29,10872.2,10872.2,-
"Nov 7, 2024",10804.29,10970.27,10794.09,10955.73,10955.73,-
"Nov 6, 2024",10573.42,10721.01,10556.08,10708.44,10708.44,-
"Nov 5, 2024",10311.56,10393.2,10306.36,10391.54,10391.54,-
"Nov 4, 2024",10248.42,10338.89,10185.48,10254.28,10254.28,-
"Nov 1, 2024",10221.8,10338.17,10193.24,10281.37,10281.37,-
"Oct 31, 2024",10391.55,10393.2,10134.97,10154.19,10154.19,-
"Oct 30, 2024",10542.58,10621.51,10466.27,10468.05,10468.05,-
"Oct 29, 2024",10571.64,10776.65,10513.95,10745.33,10745.33,-
"Oct 28, 2024",10500.64,10582.81,10490.82,10523.86,10523.86,-
"Oct 25, 2024",10494.97,10621.5,10477.84,10488.88,10488.88,-
"Oct 24, 2024",10404.86,10425.68,10344.12,10400.97,10400.97,-
